loss_kl,EpLenMean,TimestepsSoFar,ev_tdlam_before,EpThisIter,loss_ent,loss_pol_surr,loss_pol_entpen,EpisodesSoFar,loss_vf_loss,TimeElapsed,EpRewMean
0.0075367223,2674.71,638976,0.6016914546489716,1,1.078471,-0.01595442,0.0,313,0.0009207618,4112.515129566193,1.23
0.008322744,2674.71,643072,0.773899033665657,2,1.0926132,-0.016741928,0.0,315,0.0016885938,4122.566244840622,1.21
0.006498512,2679.75,647168,0.6483812928199768,1,1.1435688,-0.01781328,0.0,316,0.003933881,4132.770791292191,1.15
0.0076309512,2679.75,651264,0.6031849086284637,1,1.100286,-0.017658738,0.0,317,0.0032457334,4143.006525278091,1.15
0.0110885855,2689.94,655360,0.7743005305528641,2,1.132065,-0.018763626,0.0,319,0.0014248537,4153.085116624832,1.17
0.0062403865,2689.94,659456,0.8405385315418243,1,1.1888398,-0.014997097,0.0,320,0.0025305396,4163.309546470642,1.19
0.008909755,2700.4,663552,0.822865754365921,2,1.197494,-0.020150533,0.0,322,0.0030767866,4173.738354921341,1.2
0.009571763,2700.4,667648,0.6980882585048676,1,1.1747268,-0.018583909,0.0,323,0.0049968576,4183.855176925659,1.24
0.009946471,2708.5,671744,0.7682013511657715,1,1.1643926,-0.019711258,0.0,324,0.0029459642,4194.106667041779,1.21
0.0075756456,2689.63,675840,0.8737565279006958,2,1.1726177,-0.018890385,0.0,326,0.0037064594,4204.535859584808,1.22
0.007405827,2689.63,679936,0.7986932396888733,1,1.1143624,-0.0150627475,0.0,327,0.0035516247,4214.786862373352,1.23
0.009265788,2695.22,684032,0.7623709738254547,2,1.1868043,-0.016224869,0.0,329,0.003744039,4225.000093698502,1.19
0.009232862,2695.22,688128,0.7892242074012756,1,1.1362916,-0.017280009,0.0,330,0.0029342214,4235.240150928497,1.18
0.0072441096,2695.22,692224,0.6282872259616852,1,1.102944,-0.014154905,0.0,331,0.0027856273,4245.3170709609985,1.23
